Cropping_situation;Crop;Asso_pure;Site;Year;Yields;N_fertilization_rate;Sowing_date;Sowing_density;PAWC;Soil_N_organic;Interrang;tot_rainfall;veg_rainfall;rep_rainfall;critical_rainfall;nb_days_60;nb_days_0;max_days_0
Sene_mlcw_2012_N6p;Millet;associee;Senegal;2012;1.87785;120;230;1.23;191.250;0.03;1.3;237.2;237.2;0;54.6;1;48;24
Sene_mlcw_2012_N7a;Cowpea;associee;Senegal;2012;0.14093;140;246;4.938;191.250;0.03;1.3;189.1;189.1;0;0;1;49;30
Sene_mlcw_2012_N7p;Millet;associee;Senegal;2012;1.87788;140;230;1.23;191.250;0.03;1.3;237.2;237.2;0;54.6;1;48;24
Sene_mlcw_2012_N8a;Cowpea;associee;Senegal;2012;0.14092;160;246;4.938;191.250;0.03;1.3;189.1;189.1;0;0;1;49;30
Sene_mlcw_2012_N8p;Millet;associee;Senegal;2012;1.8779;160;230;1.23;191.250;0.03;1.3;237.2;237.2;0;54.6;1;48;24
Sene_mlcw_2012_N9a;Cowpea;associee;Senegal;2012;0.14091;180;246;4.938;191.250;0.03;1.3;189.1;189.1;0;0;1;49;30
Sene_mlcw_2012_N9p;Millet;associee;Senegal;2012;1.87792;180;230;1.23;191.250;0.03;1.3;237.2;237.2;0;54.6;1;48;24
Sene_mlcw_2013_N0a;Cowpea;associee;Senegal;2013;0.21427;0;246;4.938;191.250;0.03;1.3;209.3;208.8;0.5;6.6;0;45;9
Sene_mlcw_2013_N0p;Millet;associee;Senegal;2013;0.88235;0;230;1.23;191.250;0.03;1.3;429.8;423.2;6.6;65.3;1;45;9
Sene_mlcw_2013_N1a;Cowpea;associee;Senegal;2013;0.20115;20;246;4.938;191.250;0.03;1.3;209.3;208.8;0.5;6.6;0;45;9
Sene_mlcw_2013_N1p;Millet;associee;Senegal;2013;1.08437;20;230;1.23;191.250;0.03;1.3;429.8;423.2;6.6;65.3;1;45;9
Sene_mlcw_2013_N2a;Cowpea;associee;Senegal;2013;0.189;40;246;4.938;191.250;0.03;1.3;209.3;208.8;0.5;6.6;0;45;9
Sene_mlcw_2013_N2p;Millet;associee;Senegal;2013;1.2941;40;230;1.23;191.250;0.03;1.3;429.8;423.2;6.6;65.3;1;45;9
Sene_mlcw_2013_N3a;Cowpea;associee;Senegal;2013;0.17786;60;246;4.938;191.250;0.03;1.3;209.3;208.8;0.5;6.6;0;45;9
Sene_mlcw_2013_N3p;Millet;associee;Senegal;2013;1.50694;60;230;1.23;191.250;0.03;1.3;429.8;423.2;6.6;65.3;1;45;9
Sene_mlcw_2013_N4a;Cowpea;associee;Senegal;2013;0.16886;80;246;4.938;191.250;0.03;1.3;209.3;208.8;0.5;6.6;0;45;9
Sene_mlcw_2013_N4p;Millet;associee;Senegal;2013;1.72397;80;230;1.23;191.250;0.03;1.3;429.8;423.2;6.6;65.3;1;45;9
Sene_mlcw_2013_N5a;Cowpea;associee;Senegal;2013;0.16404;100;246;4.938;191.250;0.03;1.3;209.3;208.8;0.5;6.6;0;45;9
Sene_mlcw_2013_N5p;Millet;associee;Senegal;2013;1.8398;100;230;1.23;191.250;0.03;1.3;429.8;423.2;6.6;65.3;1;45;9
Sene_mlcw_2013_N6a;Cowpea;associee;Senegal;2013;0.16257;120;246;4.938;191.250;0.03;1.3;209.3;208.8;0.5;6.6;0;45;9
Sene_mlcw_2013_N6p;Millet;associee;Senegal;2013;1.84334;120;230;1.23;191.250;0.03;1.3;429.8;423.2;6.6;65.3;1;45;9
Sene_mlcw_2013_N7a;Cowpea;associee;Senegal;2013;0.16205;140;246;4.938;191.250;0.03;1.3;209.3;208.8;0.5;6.6;0;45;9
Sene_mlcw_2013_N7p;Millet;associee;Senegal;2013;1.84362;140;230;1.23;191.250;0.03;1.3;429.8;423.2;6.6;65.3;1;45;9
Sene_mlcw_2013_N8a;Cowpea;associee;Senegal;2013;0.16186;160;246;4.938;191.250;0.03;1.3;209.3;208.8;0.5;6.6;0;45;9
Sene_mlcw_2013_N8p;Millet;associee;Senegal;2013;1.84377;160;230;1.23;191.250;0.03;1.3;429.8;423.2;6.6;65.3;1;45;9
Sene_mlcw_2013_N9a;Cowpea;associee;Senegal;2013;0.1617;180;246;4.938;191.250;0.03;1.3;209.3;208.8;0.5;6.6;0;45;9
Sene_mlcw_2013_N9p;Millet;associee;Senegal;2013;1.8439;180;230;1.23;191.250;0.03;1.3;429.8;423.2;6.6;65.3;1;45;9
Sene_mlcw_2014_N0a;Cowpea;associee;Senegal;2014;0.15827;0;246;4.938;191.250;0.03;1.3;145.5;145.5;0;4.8;0;55;20
Sene_mlcw_2014_N0p;Millet;associee;Senegal;2014;1.03781;0;230;1.23;191.250;0.03;1.3;266;261.2;4.8;10.8;0;57;14
Sene_mlcw_2014_N1a;Cowpea;associee;Senegal;2014;0.15083;20;246;4.938;191.250;0.03;1.3;145.5;145.5;0;4.8;0;55;20
Sene_mlcw_2014_N1p;Millet;associee;Senegal;2014;1.28161;20;230;1.23;191.250;0.03;1.3;266;261.2;4.8;10.8;0;57;14
Sene_mlcw_2014_N2a;Cowpea;associee;Senegal;2014;0.14383;40;246;4.938;191.250;0.03;1.3;145.5;145.5;0;4.8;0;55;20
Sene_mlcw_2014_N2p;Millet;associee;Senegal;2014;1.51628;40;230;1.23;191.250;0.03;1.3;266;261.2;4.8;10.8;0;57;14
Sene_mlcw_2014_N3a;Cowpea;associee;Senegal;2014;0.13818;60;246;4.938;191.250;0.03;1.3;145.5;145.5;0;4.8;0;55;20
Sene_mlcw_2014_N3p;Millet;associee;Senegal;2014;1.7256;60;230;1.23;191.250;0.03;1.3;266;261.2;4.8;10.8;0;57;14
Sene_mlcw_2014_N4a;Cowpea;associee;Senegal;2014;0.13484;80;246;4.938;191.250;0.03;1.3;145.5;145.5;0;4.8;0;55;20
Sene_mlcw_2014_N4p;Millet;associee;Senegal;2014;1.90131;80;230;1.23;191.250;0.03;1.3;266;261.2;4.8;10.8;0;57;14
Sene_mlcw_2014_N5a;Cowpea;associee;Senegal;2014;0.13206;100;246;4.938;191.250;0.03;1.3;145.5;145.5;0;4.8;0;55;20
Sene_mlcw_2014_N5p;Millet;associee;Senegal;2014;1.96804;100;230;1.23;191.250;0.03;1.3;266;261.2;4.8;10.8;0;57;14
Sene_mlcw_2014_N6a;Cowpea;associee;Senegal;2014;0.13103;120;246;4.938;191.250;0.03;1.3;145.5;145.5;0;4.8;0;55;20
Sene_mlcw_2014_N6p;Millet;associee;Senegal;2014;1.96811;120;230;1.23;191.250;0.03;1.3;266;261.2;4.8;10.8;0;57;14
Sene_mlcw_2014_N7a;Cowpea;associee;Senegal;2014;0.13059;140;246;4.938;191.250;0.03;1.3;145.5;145.5;0;4.8;0;55;20
Sene_mlcw_2014_N7p;Millet;associee;Senegal;2014;1.96817;140;230;1.23;191.250;0.03;1.3;266;261.2;4.8;10.8;0;57;14
Sene_mlcw_2014_N8a;Cowpea;associee;Senegal;2014;0.13067;160;246;4.938;191.250;0.03;1.3;145.5;145.5;0;4.8;0;55;20
Sene_mlcw_2014_N8p;Millet;associee;Senegal;2014;1.96822;160;230;1.23;191.250;0.03;1.3;266;261.2;4.8;10.8;0;57;14
Sene_mlcw_2014_N9a;Cowpea;associee;Senegal;2014;0.13066;180;246;4.938;191.250;0.03;1.3;145.5;145.5;0;4.8;0;55;20
Sene_mlcw_2014_N9p;Millet;associee;Senegal;2014;1.96826;180;230;1.23;191.250;0.03;1.3;266;261.2;4.8;10.8;0;57;14
Sene_mlcw_2015_N0a;Cowpea;associee;Senegal;2015;0.1971;0;246;4.938;191.250;0.03;1.3;287.1;287.1;0;21.5;1;53;19
Sene_mlcw_2015_N0p;Millet;associee;Senegal;2015;0.83423;0;230;1.23;191.250;0.03;1.3;400.5;379;21.5;47;1;55;13
Sene_mlcw_2015_N1a;Cowpea;associee;Senegal;2015;0.18477;20;246;4.938;191.250;0.03;1.3;287.1;287.1;0;21.5;1;53;19
Sene_mlcw_2015_N1p;Millet;associee;Senegal;2015;1.05597;20;230;1.23;191.250;0.03;1.3;400.5;379;21.5;47;1;55;13
Sene_mlcw_2015_N2a;Cowpea;associee;Senegal;2015;0.17289;40;246;4.938;191.250;0.03;1.3;287.1;287.1;0;21.5;1;53;19
Sene_mlcw_2015_N2p;Millet;associee;Senegal;2015;1.27369;40;230;1.23;191.250;0.03;1.3;400.5;379;21.5;47;1;55;13
Sene_mlcw_2015_N3a;Cowpea;associee;Senegal;2015;0.16416;60;246;4.938;191.250;0.03;1.3;287.1;287.1;0;21.5;1;53;19
Sene_mlcw_2015_N3p;Millet;associee;Senegal;2015;1.45952;60;230;1.23;191.250;0.03;1.3;400.5;379;21.5;47;1;55;13
Sene_mlcw_2015_N4a;Cowpea;associee;Senegal;2015;0.15849;80;246;4.938;191.250;0.03;1.3;287.1;287.1;0;21.5;1;53;19
Sene_mlcw_2015_N4p;Millet;associee;Senegal;2015;1.61412;80;230;1.23;191.250;0.03;1.3;400.5;379;21.5;47;1;55;13
Sene_mlcw_2015_N5a;Cowpea;associee;Senegal;2015;0.15466;100;246;4.938;191.250;0.03;1.3;287.1;287.1;0;21.5;1;53;19
Sene_mlcw_2015_N5p;Millet;associee;Senegal;2015;1.66248;100;230;1.23;191.250;0.03;1.3;400.5;379;21.5;47;1;55;13
Sene_mlcw_2015_N6a;Cowpea;associee;Senegal;2015;0.153;120;246;4.938;191.250;0.03;1.3;287.1;287.1;0;21.5;1;53;19
Sene_mlcw_2015_N6p;Millet;associee;Senegal;2015;1.66257;120;230;1.23;191.250;0.03;1.3;400.5;379;21.5;47;1;55;13
Sene_mlcw_2015_N7a;Cowpea;associee;Senegal;2015;0.15283;140;246;4.938;191.250;0.03;1.3;287.1;287.1;0;21.5;1;53;19
Sene_mlcw_2015_N7p;Millet;associee;Senegal;2015;1.66264;140;230;1.23;191.250;0.03;1.3;400.5;379;21.5;47;1;55;13
Sene_mlcw_2015_N8a;Cowpea;associee;Senegal;2015;0.15282;160;246;4.938;191.250;0.03;1.3;287.1;287.1;0;21.5;1;53;19
Sene_mlcw_2015_N8p;Millet;associee;Senegal;2015;1.6627;160;230;1.23;191.250;0.03;1.3;400.5;379;21.5;47;1;55;13
Sene_mlcw_2015_N9a;Cowpea;associee;Senegal;2015;0.15281;180;246;4.938;191.250;0.03;1.3;287.1;287.1;0;21.5;1;53;19
Sene_mlcw_2015_N9p;Millet;associee;Senegal;2015;1.66275;180;230;1.23;191.250;0.03;1.3;400.5;379;21.5;47;1;55;13
Sene_mlcw_2016_N0a;Cowpea;associee;Senegal;2016;0.14201;0;246;4.938;191.250;0.03;1.3;106.8;106.8;0;4.7;0;57;18
Sene_mlcw_2016_N0p;Millet;associee;Senegal;2016;1.16408;0;230;1.23;191.250;0.03;1.3;206.4;201.7;4.7;21.8;1;59;17
Sene_mlcw_2016_N1a;Cowpea;associee;Senegal;2016;0.13664;20;246;4.938;191.250;0.03;1.3;106.8;106.8;0;4.7;0;57;18
Sene_mlcw_2016_N1p;Millet;associee;Senegal;2016;1.34976;20;230;1.23;191.250;0.03;1.3;206.4;201.7;4.7;21.8;1;59;17
Sene_mlcw_2016_N2a;Cowpea;associee;Senegal;2016;0.13134;40;246;4.938;191.250;0.03;1.3;106.8;106.8;0;4.7;0;57;18
Sene_mlcw_2016_N2p;Millet;associee;Senegal;2016;1.52218;40;230;1.23;191.250;0.03;1.3;206.4;201.7;4.7;21.8;1;59;17
Sene_mlcw_2016_N3a;Cowpea;associee;Senegal;2016;0.12766;60;246;4.938;191.250;0.03;1.3;106.8;106.8;0;4.7;0;57;18
Sene_mlcw_2016_N3p;Millet;associee;Senegal;2016;1.64885;60;230;1.23;191.250;0.03;1.3;206.4;201.7;4.7;21.8;1;59;17
Sene_mlcw_2016_N4a;Cowpea;associee;Senegal;2016;0.12567;80;246;4.938;191.250;0.03;1.3;106.8;106.8;0;4.7;0;57;18
Sene_mlcw_2016_N4p;Millet;associee;Senegal;2016;1.64888;80;230;1.23;191.250;0.03;1.3;206.4;201.7;4.7;21.8;1;59;17
Sene_mlcw_2016_N5a;Cowpea;associee;Senegal;2016;0.12528;100;246;4.938;191.250;0.03;1.3;106.8;106.8;0;4.7;0;57;18
Sene_mlcw_2016_N5p;Millet;associee;Senegal;2016;1.64891;100;230;1.23;191.250;0.03;1.3;206.4;201.7;4.7;21.8;1;59;17
Sene_mlcw_2016_N6a;Cowpea;associee;Senegal;2016;0.12509;120;246;4.938;191.250;0.03;1.3;106.8;106.8;0;4.7;0;57;18
Sene_mlcw_2016_N6p;Millet;associee;Senegal;2016;1.64894;120;230;1.23;191.250;0.03;1.3;206.4;201.7;4.7;21.8;1;59;17
Sene_mlcw_2016_N7a;Cowpea;associee;Senegal;2016;0.12506;140;246;4.938;191.250;0.03;1.3;106.8;106.8;0;4.7;0;57;18
Sene_mlcw_2016_N7p;Millet;associee;Senegal;2016;1.64896;140;230;1.23;191.250;0.03;1.3;206.4;201.7;4.7;21.8;1;59;17
Sene_mlcw_2016_N8a;Cowpea;associee;Senegal;2016;0.12503;160;246;4.938;191.250;0.03;1.3;106.8;106.8;0;4.7;0;57;18
Sene_mlcw_2016_N8p;Millet;associee;Senegal;2016;1.64897;160;230;1.23;191.250;0.03;1.3;206.4;201.7;4.7;21.8;1;59;17
Sene_mlcw_2016_N9a;Cowpea;associee;Senegal;2016;0.12503;180;246;4.938;191.250;0.03;1.3;106.8;106.8;0;4.7;0;57;18
Sene_mlcw_2016_N9p;Millet;associee;Senegal;2016;1.64899;180;230;1.23;191.250;0.03;1.3;206.4;201.7;4.7;21.8;1;59;17
Sene_mlcw_2017_N0a;Cowpea;associee;Senegal;2017;0.01272;0;246;4.938;191.250;0.03;1.3;105.7;105.7;0;3.2;0;60;25
Sene_mlcw_2017_N0p;Millet;associee;Senegal;2017;1.25148;0;230;1.23;191.250;0.03;1.3;204.3;201.1;3.2;17.5;0;62;19
Sene_mlcw_2017_N1a;Cowpea;associee;Senegal;2017;0.01429;20;246;4.938;191.250;0.03;1.3;105.7;105.7;0;3.2;0;60;25
Sene_mlcw_2017_N1p;Millet;associee;Senegal;2017;1.50176;20;230;1.23;191.250;0.03;1.3;204.3;201.1;3.2;17.5;0;62;19
Sene_mlcw_2017_N2a;Cowpea;associee;Senegal;2017;0.01399;40;246;4.938;191.250;0.03;1.3;105.7;105.7;0;3.2;0;60;25
Sene_mlcw_2017_N2p;Millet;associee;Senegal;2017;1.729;40;230;1.23;191.250;0.03;1.3;204.3;201.1;3.2;17.5;0;62;19
Sene_mlcw_2017_N3a;Cowpea;associee;Senegal;2017;0.01171;60;246;4.938;191.250;0.03;1.3;105.7;105.7;0;3.2;0;60;25
Sene_mlcw_2017_N3p;Millet;associee;Senegal;2017;1.9026;60;230;1.23;191.250;0.03;1.3;204.3;201.1;3.2;17.5;0;62;19
Sene_mlcw_2017_N4a;Cowpea;associee;Senegal;2017;0.01363;80;246;4.938;191.250;0.03;1.3;105.7;105.7;0;3.2;0;60;25
Sene_mlcw_2017_N4p;Millet;associee;Senegal;2017;1.99567;80;230;1.23;191.250;0.03;1.3;204.3;201.1;3.2;17.5;0;62;19
Sene_mlcw_2017_N5a;Cowpea;associee;Senegal;2017;0.01358;100;246;4.938;191.250;0.03;1.3;105.7;105.7;0;3.2;0;60;25
Sene_mlcw_2017_N5p;Millet;associee;Senegal;2017;1.99572;100;230;1.23;191.250;0.03;1.3;204.3;201.1;3.2;17.5;0;62;19
Sene_mlcw_2017_N6a;Cowpea;associee;Senegal;2017;0.01356;120;246;4.938;191.250;0.03;1.3;105.7;105.7;0;3.2;0;60;25
Sene_mlcw_2017_N6p;Millet;associee;Senegal;2017;1.99576;120;230;1.23;191.250;0.03;1.3;204.3;201.1;3.2;17.5;0;62;19
Sene_mlcw_2017_N7a;Cowpea;associee;Senegal;2017;0.01356;140;246;4.938;191.250;0.03;1.3;105.7;105.7;0;3.2;0;60;25
Sene_mlcw_2017_N7p;Millet;associee;Senegal;2017;1.99579;140;230;1.23;191.250;0.03;1.3;204.3;201.1;3.2;17.5;0;62;19
Sene_mlcw_2017_N8a;Cowpea;associee;Senegal;2017;0.01564;160;246;4.938;191.250;0.03;1.3;105.7;105.7;0;3.2;0;60;25
Sene_mlcw_2017_N8p;Millet;associee;Senegal;2017;1.99583;160;230;1.23;191.250;0.03;1.3;204.3;201.1;3.2;17.5;0;62;19
Sene_mlcw_2017_N9a;Cowpea;associee;Senegal;2017;0.01817;180;246;4.938;191.250;0.03;1.3;105.7;105.7;0;3.2;0;60;25
Sene_mlcw_2017_N9p;Millet;associee;Senegal;2017;1.99584;180;230;1.23;191.250;0.03;1.3;204.3;201.1;3.2;17.5;0;62;19
Sene_mlcw_2018_N0a;Cowpea;associee;Senegal;2018;0.19757;0;246;4.938;191.250;0.03;1.3;238.5;238.5;0;19;0;53;25
Sene_mlcw_2018_N0p;Millet;associee;Senegal;2018;1.03571;0;230;1.23;191.250;0.03;1.3;356.8;337.8;19;88.4;0;56;19
Sene_mlcw_2018_N1a;Cowpea;associee;Senegal;2018;0.1857;20;246;4.938;191.250;0.03;1.3;238.5;238.5;0;19;0;53;25
Sene_mlcw_2018_N1p;Millet;associee;Senegal;2018;1.30397;20;230;1.23;191.250;0.03;1.3;356.8;337.8;19;88.4;0;56;19
Sene_mlcw_2018_N2a;Cowpea;associee;Senegal;2018;0.17329;40;246;4.938;191.250;0.03;1.3;238.5;238.5;0;19;0;53;25
Sene_mlcw_2018_N2p;Millet;associee;Senegal;2018;1.56814;40;230;1.23;191.250;0.03;1.3;356.8;337.8;19;88.4;0;56;19
Sene_mlcw_2018_N3a;Cowpea;associee;Senegal;2018;0.16516;60;246;4.938;191.250;0.03;1.3;238.5;238.5;0;19;0;53;25
Sene_mlcw_2018_N3p;Millet;associee;Senegal;2018;1.79547;60;230;1.23;191.250;0.03;1.3;356.8;337.8;19;88.4;0;56;19
Sene_mlcw_2018_N4a;Cowpea;associee;Senegal;2018;0.16015;80;246;4.938;191.250;0.03;1.3;238.5;238.5;0;19;0;53;25
Sene_mlcw_2018_N4p;Millet;associee;Senegal;2018;1.99048;80;230;1.23;191.250;0.03;1.3;356.8;337.8;19;88.4;0;56;19
Sene_mlcw_2018_N5a;Cowpea;associee;Senegal;2018;0.15767;100;246;4.938;191.250;0.03;1.3;238.5;238.5;0;19;0;53;25
Sene_mlcw_2018_N5p;Millet;associee;Senegal;2018;2.02271;100;230;1.23;191.250;0.03;1.3;356.8;337.8;19;88.4;0;56;19
Sene_mlcw_2018_N6a;Cowpea;associee;Senegal;2018;0.15685;120;246;4.938;191.250;0.03;1.3;238.5;238.5;0;19;0;53;25
Sene_mlcw_2018_N6p;Millet;associee;Senegal;2018;2.02279;120;230;1.23;191.250;0.03;1.3;356.8;337.8;19;88.4;0;56;19
Sene_mlcw_2018_N7a;Cowpea;associee;Senegal;2018;0.1566;140;246;4.938;191.250;0.03;1.3;238.5;238.5;0;19;0;53;25
Sene_mlcw_2018_N7p;Millet;associee;Senegal;2018;2.02284;140;230;1.23;191.250;0.03;1.3;356.8;337.8;19;88.4;0;56;19
Sene_mlcw_2018_N8a;Cowpea;associee;Senegal;2018;0.15659;160;246;4.938;191.250;0.03;1.3;238.5;238.5;0;19;0;53;25
Sene_mlcw_2018_N8p;Millet;associee;Senegal;2018;2.02289;160;230;1.23;191.250;0.03;1.3;356.8;337.8;19;88.4;0;56;19
Sene_mlcw_2018_N9a;Cowpea;associee;Senegal;2018;0.15656;180;246;4.938;191.250;0.03;1.3;238.5;238.5;0;19;0;53;25
Sene_mlcw_2018_N9p;Millet;associee;Senegal;2018;2.02293;180;230;1.23;191.250;0.03;1.3;356.8;337.8;19;88.4;0;56;19
Sene_mlcw_2019_N0a;Cowpea;associee;Senegal;2019;0.20735;0;246;4.938;191.250;0.03;1.3;228.4;228.4;0;32;0;50;26
Sene_mlcw_2019_N0p;Millet;associee;Senegal;2019;0.98917;0;230;1.23;191.250;0.03;1.3;474.6;442.6;32;67.1;1;48;20
Sene_mlcw_2019_N1a;Cowpea;associee;Senegal;2019;0.19647;20;246;4.938;191.250;0.03;1.3;228.4;228.4;0;32;0;50;26
Sene_mlcw_2019_N1p;Millet;associee;Senegal;2019;1.22104;20;230;1.23;191.250;0.03;1.3;474.6;442.6;32;67.1;1;48;20
Sene_mlcw_2019_N2a;Cowpea;associee;Senegal;2019;0.18202;40;246;4.938;191.250;0.03;1.3;228.4;228.4;0;32;0;50;26
Sene_mlcw_2019_N2p;Millet;associee;Senegal;2019;1.46624;40;230;1.23;191.250;0.03;1.3;474.6;442.6;32;67.1;1;48;20
Sene_mlcw_2019_N3a;Cowpea;associee;Senegal;2019;0.17201;60;246;4.938;191.250;0.03;1.3;228.4;228.4;0;32;0;50;26
Sene_mlcw_2019_N3p;Millet;associee;Senegal;2019;1.7024;60;230;1.23;191.250;0.03;1.3;474.6;442.6;32;67.1;1;48;20
Sene_mlcw_2019_N4a;Cowpea;associee;Senegal;2019;0.16556;80;246;4.938;191.250;0.03;1.3;228.4;228.4;0;32;0;50;26
Sene_mlcw_2019_N4p;Millet;associee;Senegal;2019;1.8993;80;230;1.23;191.250;0.03;1.3;474.6;442.6;32;67.1;1;48;20
Sene_mlcw_2019_N5a;Cowpea;associee;Senegal;2019;0.16253;100;246;4.938;191.250;0.03;1.3;228.4;228.4;0;32;0;50;26
Sene_mlcw_2019_N5p;Millet;associee;Senegal;2019;1.95424;100;230;1.23;191.250;0.03;1.3;474.6;442.6;32;67.1;1;48;20
Sene_mlcw_2019_N6a;Cowpea;associee;Senegal;2019;0.16077;120;246;4.938;191.250;0.03;1.3;228.4;228.4;0;32;0;50;26
Sene_mlcw_2019_N6p;Millet;associee;Senegal;2019;1.95441;120;230;1.23;191.250;0.03;1.3;474.6;442.6;32;67.1;1;48;20
Sene_mlcw_2019_N7a;Cowpea;associee;Senegal;2019;0.16044;140;246;4.938;191.250;0.03;1.3;228.4;228.4;0;32;0;50;26
Sene_mlcw_2019_N7p;Millet;associee;Senegal;2019;1.95457;140;230;1.23;191.250;0.03;1.3;474.6;442.6;32;67.1;1;48;20
Sene_mlcw_2019_N8a;Cowpea;associee;Senegal;2019;0.16042;160;246;4.938;191.250;0.03;1.3;228.4;228.4;0;32;0;50;26
Sene_mlcw_2019_N8p;Millet;associee;Senegal;2019;1.95471;160;230;1.23;191.250;0.03;1.3;474.6;442.6;32;67.1;1;48;20
Sene_mlcw_2019_N9a;Cowpea;associee;Senegal;2019;0.1604;180;246;4.938;191.250;0.03;1.3;228.4;228.4;0;32;0;50;26
Sene_mlcw_2019_N9p;Millet;associee;Senegal;2019;1.95485;180;230;1.23;191.250;0.03;1.3;474.6;442.6;32;67.1;1;48;20
Burk_cowp_2000_N0;Cowpea;pure;Burkina;2000;1.0403;0;212;6.25;424.460;0.03;0.8;397.72;300.09;97.63;120.15;0;16;10
Burk_cowp_2001_N0;Cowpea;pure;Burkina;2001;0.84988;0;212;6.25;424.460;0.03;0.8;288.8;239.57;49.23;79.67;0;35;35
Burk_cowp_2002_N0;Cowpea;pure;Burkina;2002;0.33663;0;212;6.25;424.460;0.03;0.8;277.39;193.22;84.17;96.68;0;21;10
Burk_cowp_2003_N0;Cowpea;pure;Burkina;2003;1.0264;0;212;6.25;424.460;0.03;0.8;428.27;357.02;71.25;148.03;0;15;8
Burk_cowp_2004_N0;Cowpea;pure;Burkina;2004;0.68861;0;212;6.25;424.460;0.03;0.8;250.46;207.49;42.97;84.7;0;27;6
Burk_cowp_2005_N0;Cowpea;pure;Burkina;2005;1.03228;0;212;6.25;424.460;0.03;0.8;348.63;279.46;69.17;135.88;0;26;14
Burk_cowp_2006_N0;Cowpea;pure;Burkina;2006;0.98423;0;212;6.25;424.460;0.03;0.8;373.94;281.32;92.62;155.11;0;18;18
Burk_cowp_2007_N0;Cowpea;pure;Burkina;2007;1.04209;0;212;6.25;424.460;0.03;0.8;458.71;422.16;36.55;144.64;0;16;5
Burk_cowp_2008_N0;Cowpea;pure;Burkina;2008;1.07092;0;212;6.25;424.460;0.03;0.8;430.73;343.19;87.54;129.07;0;24;23
Burk_cowp_2009_N0;Cowpea;pure;Burkina;2009;1.06249;0;212;6.25;424.460;0.03;0.8;491.09;401.82;89.27;181.72;0;11;7
Burk_cowp_2010_N0;Cowpea;pure;Burkina;2010;1.08675;0;212;6.25;424.460;0.03;0.8;590.08;416.3;173.78;212.8;0;8;5
Burk_cowp_2011_N0;Cowpea;pure;Burkina;2011;1.0711;0;212;6.25;424.460;0.03;0.8;449.73;368.47;81.26;153.28;0;22;20
Burk_cowp_2012_N0;Cowpea;pure;Burkina;2012;1.08282;0;212;6.25;424.460;0.03;0.8;602.68;419.48;183.2;231.94;0;4;4
Burk_cowp_2013_N0;Cowpea;pure;Burkina;2013;1.07967;0;212;6.25;424.460;0.03;0.8;492.7;389.84;102.86;155.06;0;20;14
Burk_cowp_2014_N0;Cowpea;pure;Burkina;2014;1.03395;0;212;6.25;424.460;0.03;0.8;462.59;317.39;145.2;223.24;0;10;10
Burk_cowp_2015_N0;Cowpea;pure;Burkina;2015;1.04656;0;212;6.25;424.460;0.03;0.8;588.17;423.71;164.46;188.13;0;15;13
Burk_cowp_2016_N0;Cowpea;pure;Burkina;2016;1.03802;0;212;6.25;424.460;0.03;0.8;416.33;326.29;90.04;135.05;0;26;10
Burk_cowp_2017_N0;Cowpea;pure;Burkina;2017;1.05798;0;212;6.25;424.460;0.03;0.8;439.93;351.02;88.91;159.83;0;36;33
Burk_cowp_2018_N0;Cowpea;pure;Burkina;2018;1.09225;0;212;6.25;424.460;0.03;0.8;729.63;585.64;143.99;218.81;1;19;15
Burk_cowp_2019_N0;Cowpea;pure;Burkina;2019;1.07559;0;212;6.25;424.460;0.03;0.8;565.92;403.69;162.23;133.06;0;15;14
Burk_sgcw_2000_N0a;Cowpea;associee;Burkina;2000;0.47905;0;212;6.25;424.460;0.03;0.8;397.72;300.09;97.63;120.15;0;16;10
Burk_sgcw_2000_N0p;Sorghum;associee;Burkina;2000;0.81144;0;197;6.25;424.460;0.03;0.8;463.98;457.12;6.86;35.21;0;18;10
Burk_sgcw_2000_N1a;Cowpea;associee;Burkina;2000;0.47134;20;212;6.25;424.460;0.03;0.8;397.72;300.09;97.63;120.15;0;16;10
Burk_sgcw_2000_N1p;Sorghum;associee;Burkina;2000;1.25979;20;197;6.25;424.460;0.03;0.8;463.98;457.12;6.86;35.21;0;18;10
Burk_sgcw_2000_N2a;Cowpea;associee;Burkina;2000;0.47171;40;212;6.25;424.460;0.03;0.8;397.72;300.09;97.63;120.15;0;16;10
Burk_sgcw_2000_N2p;Sorghum;associee;Burkina;2000;1.77812;40;197;6.25;424.460;0.03;0.8;463.98;457.12;6.86;35.21;0;18;10
Burk_sgcw_2000_N3a;Cowpea;associee;Burkina;2000;0.47294;60;212;6.25;424.460;0.03;0.8;397.72;300.09;97.63;120.15;0;16;10
Burk_sgcw_2000_N3p;Sorghum;associee;Burkina;2000;2.33654;60;197;6.25;424.460;0.03;0.8;463.98;457.12;6.86;35.21;0;18;10
Burk_sgcw_2000_N4a;Cowpea;associee;Burkina;2000;0.46841;80;212;6.25;424.460;0.03;0.8;397.72;300.09;97.63;120.15;0;16;10
Burk_sgcw_2000_N4p;Sorghum;associee;Burkina;2000;2.6695;80;197;6.25;424.460;0.03;0.8;463.98;457.12;6.86;35.21;0;18;10
Burk_sgcw_2000_N5a;Cowpea;associee;Burkina;2000;0.46266;100;212;6.25;424.460;0.03;0.8;397.72;300.09;97.63;120.15;0;16;10
Burk_sgcw_2000_N5p;Sorghum;associee;Burkina;2000;2.90118;100;197;6.25;424.460;0.03;0.8;463.98;457.12;6.86;35.21;0;18;10
