Cropping_situation;Crop;Asso_pure;Site;Year;Yields;N_fertilization_rate;Sowing_date;Sowing_density;PAWC;Soil_N_organic;Interrang;tot_rainfall;veg_rainfall;rep_rainfall;critical_rainfall;nb_days_60;nb_days_0;max_days_0
Sene_milt_2001_N5;Millet;pure;Senegal;2001;2.09622;100;230;1.23;191.250;0.03;1.3;337.6;289.4;48.2;40.9;1;56;14
Sene_milt_2001_N6;Millet;pure;Senegal;2001;2.09626;120;230;1.23;191.250;0.03;1.3;337.6;289.4;48.2;40.9;1;56;14
Sene_milt_2001_N7;Millet;pure;Senegal;2001;2.09629;140;230;1.23;191.250;0.03;1.3;337.6;289.4;48.2;40.9;1;56;14
Sene_milt_2001_N8;Millet;pure;Senegal;2001;2.09632;160;230;1.23;191.250;0.03;1.3;337.6;289.4;48.2;40.9;1;56;14
Sene_milt_2001_N9;Millet;pure;Senegal;2001;2.09634;180;230;1.23;191.250;0.03;1.3;337.6;289.4;48.2;40.9;1;56;14
Sene_milt_2002_N0;Millet;pure;Senegal;2002;0.86802;0;230;1.23;191.250;0.03;1.3;207.2;202.9;4.3;42.3;0;58;12
Sene_milt_2002_N1;Millet;pure;Senegal;2002;1.11347;20;230;1.23;191.250;0.03;1.3;207.2;202.9;4.3;42.3;0;58;12
Sene_milt_2002_N2;Millet;pure;Senegal;2002;1.3714;40;230;1.23;191.250;0.03;1.3;207.2;202.9;4.3;42.3;0;58;12
Sene_milt_2002_N3;Millet;pure;Senegal;2002;1.61012;60;230;1.23;191.250;0.03;1.3;207.2;202.9;4.3;42.3;0;58;12
Sene_milt_2002_N4;Millet;pure;Senegal;2002;1.81482;80;230;1.23;191.250;0.03;1.3;207.2;202.9;4.3;42.3;0;58;12
Sene_milt_2002_N5;Millet;pure;Senegal;2002;1.82633;100;230;1.23;191.250;0.03;1.3;207.2;202.9;4.3;42.3;0;58;12
Sene_milt_2002_N6;Millet;pure;Senegal;2002;1.82618;120;230;1.23;191.250;0.03;1.3;207.2;202.9;4.3;42.3;0;58;12
Sene_milt_2002_N7;Millet;pure;Senegal;2002;1.82605;140;230;1.23;191.250;0.03;1.3;207.2;202.9;4.3;42.3;0;58;12
Sene_milt_2002_N8;Millet;pure;Senegal;2002;1.82596;160;230;1.23;191.250;0.03;1.3;207.2;202.9;4.3;42.3;0;58;12
Sene_milt_2002_N9;Millet;pure;Senegal;2002;1.82588;180;230;1.23;191.250;0.03;1.3;207.2;202.9;4.3;42.3;0;58;12
Sene_milt_2003_N0;Millet;pure;Senegal;2003;1.74327;0;230;1.23;191.250;0.03;1.3;392.5;268.3;124.2;161.8;1;55;11
Sene_milt_2003_N1;Millet;pure;Senegal;2003;1.99161;20;230;1.23;191.250;0.03;1.3;392.5;268.3;124.2;161.8;1;55;11
Sene_milt_2003_N2;Millet;pure;Senegal;2003;2.11501;40;230;1.23;191.250;0.03;1.3;392.5;268.3;124.2;161.8;1;55;11
Sene_milt_2003_N3;Millet;pure;Senegal;2003;2.11505;60;230;1.23;191.250;0.03;1.3;392.5;268.3;124.2;161.8;1;55;11
Sene_milt_2003_N4;Millet;pure;Senegal;2003;2.11508;80;230;1.23;191.250;0.03;1.3;392.5;268.3;124.2;161.8;1;55;11
Sene_milt_2003_N5;Millet;pure;Senegal;2003;2.11511;100;230;1.23;191.250;0.03;1.3;392.5;268.3;124.2;161.8;1;55;11
Sene_milt_2003_N6;Millet;pure;Senegal;2003;2.11513;120;230;1.23;191.250;0.03;1.3;392.5;268.3;124.2;161.8;1;55;11
Sene_milt_2003_N7;Millet;pure;Senegal;2003;2.11515;140;230;1.23;191.250;0.03;1.3;392.5;268.3;124.2;161.8;1;55;11
Sene_milt_2003_N8;Millet;pure;Senegal;2003;2.11517;160;230;1.23;191.250;0.03;1.3;392.5;268.3;124.2;161.8;1;55;11
Sene_milt_2003_N9;Millet;pure;Senegal;2003;2.11518;180;230;1.23;191.250;0.03;1.3;392.5;268.3;124.2;161.8;1;55;11
Sene_milt_2004_N0;Millet;pure;Senegal;2004;1.41199;0;230;1.23;191.250;0.03;1.3;291.3;283.5;7.8;29.8;1;60;15
Sene_milt_2004_N1;Millet;pure;Senegal;2004;1.69035;20;230;1.23;191.250;0.03;1.3;291.3;283.5;7.8;29.8;1;60;15
